Year,Floating-Point Operations per Second (FLOPS)
1993,124000000000
1994,170000000000
1995,170000000000
1996,368000000000
1997,1300000000000
1998,1300000000000
1999,2400000000000
2000,4900000000000
2001,7200000000000
2002,35900000000000
2003,35900000000000
2004,70700000000000
2005,280600000000000
2006,280600000000000
2007,478200000000000
2008,1100000000000000
2009,1800000000000000
2010,2600000000000000
2011,10500000000000000
2012,17600000000000000
2013,33900000000000000
2014,33900000000000000
2015,33900000000000000
2016,93000000000000000
2017,93000000000000000